Round,Num.,Drafted By,Player,Pos,Drafted From,GP,G,A,Pts,PIM,Last Season
7.0,197.0,Detroit,Mattias Elfstrom,L,Malmo Jrs (Sweden),,,,,,
7.0,198.0,Nashville,Adam Smith,D,Bowling Green State University [WCHA],,,,,,
7.0,199.0,Philadelphia,David Bernhardt,D,Djurgarden Jrs (Sweden),,,,,,
7.0,200.0,NY Islanders,David Quenneville,D,Medicine Hat Tigers [WHL],,,,,,
7.0,201.0,NY Rangers,Ty Ronning,R,Vancouver Giants [WHL],,,,,,
7.0,202.0,Los Angeles,Jacob Friend,D,Owen Sound Attack [OHL],,,,,,
7.0,203.0,Chicago,Jake Ryczek,D,Waterloo Black Hawks [USHL],,,,,,
7.0,204.0,Minnesota,Braydyn Chizen,D,Kelowna Rockets [WHL],,,,,,
7.0,205.0,Anaheim,Tyler Soy,C,Victoria Royals [WHL],,,,,,
7.0,206.0,Tampa Bay,Otto Somppi,C,Halifax Mooseheads [QMJHL],,,,,,
7.0,207.0,Washington,Dmitriy Zaitsev,D,Wilkes-Barre/Scranton Knights [NAHL],,,,,,
7.0,208.0,Tampa Bay,Ryan Lohin,C,Waterloo Black Hawks [USHL],,,,,,
7.0,209.0,St. Louis,Nikolaj Krag-Christensen,C,Rodovre Mighty Bulls [Denmark],,,,,,
7.0,210.0,San Jose,Joachim Blichfeld,L,Malmo Jrs. (Sweden),8.0,1.0,0.0,1.0,14.0,2020-21
7.0,211.0,St. Louis,Filip Helt,L,Litvinov Jrs (Czech Rep.),,,,,,
